Url,Name」, Description, Tag
https://izihun.com/,字魂网,字体下载_免费字体下载_商用字体设计定制--字魂网,字体研究社;
https://www.qiuziti.com/, 求字体网,"字体下载-求字体网提供中文和英文字体库下载、识别与预览服务,找字体的好帮手",字体研究社;
https://www.fontsquirrel.com/,松鼠字体,松鼠字体（Font Squirrel）搜寻互联网上高质量的合法免费字体。下载数千种完全合法，高质量的免费字体。,字体研究社;
https://www.hellofont.cn/,字由,字由是为设计师量身定做的一款字体下载管理工具。这里收集了国内外上千款精选字体，不仅让你轻松、自由和高效的使用字体，还为你展示了每款字体的详细信息和精选的字体文章。字由将成为你设计中的好帮手，让你领略字体在设计中的更多精彩。,字体研究社;
https://www.fontfabric.com/,fontfabric,一个数字型铸造厂，为各种品牌制作零售字体和自定义字体。分享对高级字体，书法和刻字的热情。,字体研究社;
https://www.100font.com/,100Font,一个专门收集「免费商用字体」的网站,字体研究社;
"https://colorhunt.co/","色彩猎人","提供现成的优质配色示例","色彩实验室;"
"https://www.iloveimg.com/zh-cn/compress-image","在线压缩图片","压缩 JPG, PNG 或 GIF时保持最佳文件质量和压缩程度。一次缩小多个图片文件的尺寸。","图片处理;"
"https://masuit.com/", "懒得勤快", "拥有马克丁封禁全家桶，懒得勤快，互联网分享精神，勤于发现，乐于分享","资源集市;"
"https://v0v.bid/", "Windows系统一句命令激活", ,"资源集市;"
